Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Ten Mile River Baptist Church,Sullivan,05/09/1997,97NR01186,-75.0165311815,41.5602935887,POINT (-75.0165311815 41.5602935887)
First Baptist Church and Rectory,Westchester,07/21/1983,90NR02523,-73.8584626116,41.0744813618,POINT (-73.8584626116 41.0744813618)
First Reformed Church of College Point,Queens,11/16/2018,18NR00058,-73.8490019296,40.7862310931,POINT (-73.8490019296 40.7862310931)
Logan Methodist Church,Schuyler,01/26/2001,00NR01710,-76.8283873449,42.4874164187,POINT (-76.8283873449 42.4874164187)
First Baptist Church of Ogdensburg Complex,St. Lawrence,05/18/2018,17NR00075,-75.4901310599,44.6939031642,POINT (-75.4901310599 44.6939031642)
Methodist Episcopal Church of West Martinsburg,Lewis,09/15/1983,90NR01192,-75.5162491842,43.7599979213,POINT (-75.5162491842 43.7599979213)
Christ Church (Episcopal),Greene,11/16/2015,15NR00095,-74.0217991807,42.4169509307,POINT (-74.0217991807 42.4169509307)
Andrews United Methodist Church,Kings,01/22/1992,91NR00174,-73.8769522273,40.6853312452,POINT (-73.8769522273 40.6853312452)
La Fargeville United Methodist Church,Jefferson,06/28/1996,96NR00949,-75.968785797,44.1910323177,POINT (-75.968785797 44.1910323177)
Church of the Resurrection,Queens,03/07/2003,02NR05012,-73.8324874551,40.7023556524,POINT (-73.8324874551 40.7023556524)
Greenwood Baptist Church,Kings,02/16/2016,15NR00069,-73.9801607581,40.6690695286,POINT (-73.9801607581 40.6690695286)
United Presbyterian Church of Lisbon,St. Lawrence,10/05/2005,05NR05477,-75.3212272447,44.7277182806,POINT (-75.3212272447 44.7277182806)
First Unitarian Society Church,Schenectady,02/05/2014,13NR06500,-73.9220928856,42.8169125845,POINT (-73.9220928856 42.8169125845)
Blooming Grove Church,Orange,12/06/1996,96NR01098,-74.1981503386,41.4042369595,POINT (-74.1981503386 41.4042369595)
Osceola Town Hall/Former Methodist Church,Lewis,12/22/2005,05NR05508,-75.7222806719,43.5010973361,POINT (-75.7222806719 43.5010973361)
Dundee Methodist Church,Yates,01/05/2005,04NR05264,-76.9763598255,42.5243651208,POINT (-76.9763598255 42.5243651208)
Emmanuel Episcopal Church,Herkimer,07/29/2009,08NR05912,-74.8553395413,43.0442563824,POINT (-74.8553395413 43.0442563824)
First Presbyterian Church of Deposit,Broome,12/03/2019,19NR00042,-75.4224110025,42.0632031947,POINT (-75.4224110025 42.0632031947)
First Congregational Church of Walton,Delaware,07/27/2015,15NR00020,-75.1275884178,42.1708398133,POINT (-75.1275884178 42.1708398133)
