the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.98249154242727 40.727693771956524, -73.98285644968165 40.727847534709525, -73.98276055979981 40.72797945483363, -73.98239546731786 40.72782594749578, -73.98249154242727 40.727693771956524)))",703,MN,437,25,288 East 10th Street,1004370025,Saint Nicholas of Myra Orthodox Church,LP-02312,"Borough of Manhattan Tax Block 437, Lot 25.",Designated,originally the Memorial Chapel of Saint Mark's Parish,12/16/2008,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2312.pdf,341.184968218,6356.04659363
"MULTIPOLYGON (((-73.94818179073759 40.80761351323163, -73.94810560591341 40.80758149686788, -73.94802520704295 40.8075477081743, -73.94820780749467 40.80729876296362, -73.94844503603156 40.807398459901066, -73.94826243737877 40.80764740548405, -73.94818179073759 40.80761351323163)))",710,MN,1908,9,147 West 123rd Street,1019080009,Saint Paul's German Evangelical Lutheran Church,LP-01844,"Borough of Manhattan Tax Map Block 1908, Lot 9.",Designated,now Greater Metropolitan Baptist Church,03/08/1994,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1844.pdf,357.767663086,7792.65901719
"MULTIPOLYGON (((-73.94116183308704 40.81665586873114, -73.94134045762057 40.81641384402606, -73.94158218098895 40.81651564726669, -73.94180731481805 40.8166104078452, -73.94162846004757 40.81685274652154, -73.94116183308704 40.81665586873114)))",722,MN,2006,52,132 West 138th Street,1020060052,Abyssinian Baptist Church and Community House,LP-01851,"Borough of Manhattan Tax Map Block 2006, Lot 52.",Designated,,07/13/1993,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1851.pdf,497.801877724,14944.616835
"MULTIPOLYGON (((-73.94628590268016 40.805494393208946, -73.9463820335895 40.80536373689841, -73.9463314592356 40.80534248231023, -73.94641647934745 40.80522691405155, -73.94644169066945 40.80523751022754, -73.94651005425476 40.80526623995745, -73.94658009304882 40.80529567461284, -73.94657848905896 40.80529785487709, -73.94689457306627 40.805430692082034, -73.94671758263642 40.805671294761574, -73.94628590268016 40.805494393208946)))",748,MN,1720,67,230 Lenox Avenue,1017200067,Saint Martin's Episcopal Church,LP-00293,"Borough of Manhattan Tax Map Block 1720, Lot 67.",Designated,,07/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0293.pdf,507.647457264,14535.7391319
"MULTIPOLYGON (((-73.94566780305432 40.81403032324823, -73.9455476404894 40.81397977477558, -73.94542303853439 40.8139273591459, -73.94546959505715 40.81386346927733, -73.94550999910817 40.8138080213458, -73.94555505326255 40.813746195571944, -73.94560273440014 40.81368076092542, -73.94587136915335 40.81379376559907, -73.9457767606238 40.8139235989734, -73.94583259131632 40.81394708497295, -73.94574750355308 40.81406385027341, -73.94566780305432 40.81403032324823)))",751,MN,1938,124,209-217 West 132nd Street,1019380124,Saint Aloysius Roman Catholic Church,LP-02164,"Borough of Manhattan Tax Map Block 1938, Lot 124.",Designated,,01/30/2007,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2164.pdf,410.714277298,9587.77665932
"MULTIPOLYGON (((-73.98469899848473 40.69421724609322, -73.98507560905415 40.69423097343622, -73.9850663811655 40.694435176112194, -73.98468977062777 40.694421447839005, -73.98469899848473 40.69421724609322)))",847,BK,2047,7,311 Bridge Street,3020470007,First Free Congregational Church,LP-02004,"Borough of Brooklyn Tax Map Block 2047, Lot 7.",Designated,"later the Bridge Street African Wesleyan Methodist Episcopal Church, now part of Polytechnic Institute of New York University, Wunsch Student Center",11/24/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2004.pdf,357.99268852,7782.49451229
"MULTIPOLYGON (((-74.00004206593363 40.60837912126682, -74.00026624989616 40.60816594050368, -74.00011638051149 40.60807543473564, -74.00034002559887 40.60786276531887, -74.00111307159564 40.60832959710682, -74.00062001583656 40.60872899472089, -74.00004206593363 40.60837912126682)))",856,BK,6327,10,"18th Avenue, from 83rd to 84th Streets",3063270010,"New Utrecht Reformed Dutch Church and Parish House, Expanded Landmark Site",LP-00172E,"Borough of Brooklyn Tax Map Block 6327, Lot 10.",Designated,,01/13/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0172E.pdf,930.511421488,47619.6749459
"MULTIPOLYGON (((-74.00545213951033 40.61088423982699, -74.00599402229761 40.610363019021435, -74.00651414647895 40.61067646759957, -74.00599866909874 40.61117229296481, -74.00545213951033 40.61088423982699)))",859,BK,6325,1,"adjacent to 16th Avenue, from 84th to 85th Streets",3063250001,New Utrecht Reformed Dutch Church Cemetery,LP-01978,"Borough of Brookly Tax Map Block 6325, Lot 1.",Designated,,01/13/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1978.pdf,841.351260709,43518.2415084
"MULTIPOLYGON (((-73.97079919645411 40.68583230920474, -73.97078579437617 40.68576540393509, -73.97087738057708 40.6857547452561, -73.97093653059915 40.68574786137474, -73.97094993045883 40.685814766626365, -73.97094973880833 40.685814789991355, -73.97099136684221 40.68602262735617, -73.97084082284675 40.68604014662329, -73.97079919645411 40.68583230920474)))",868,BK,1957,28,40 Greene Avenue,3019570028,Saint Casimir's Roman Catholic Church,LP-02476,"Borough of Brooklyn, Tax Map Block 1957, Lot 28",Designated,now the Paul Robeson Theatre,10/25/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2476.pdf,287.088524701,4277.94350783
"MULTIPOLYGON (((-73.96547368549258 40.68834602856019, -73.96552803884394 40.68861385215723, -73.96536380751239 40.68863299368601, -73.9653789409646 40.688707562554406, -73.96539211328853 40.68877247192319, -73.96510026514028 40.68880648622798, -73.96501709020606 40.68839924608687, -73.96547368549258 40.68834602856019)))",869,BK,1932,42,279 Lafayette Avenue,3019320042,Emmanuel Baptist Church,LP-00160,"Borough of Brooklyn Tax Map Block 1932, Lot 42W.",Designated,,11/12/1968,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0160.pdf,556.364462126,16854.7668887
