the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.99227578435926 40.72912655917675, -73.9923299096846 40.72906247719887, -73.99276043393118 40.72927471802837, -73.99273922812527 40.729299644571896, -73.99270603305143 40.72933866421245, -73.99227578435926 40.72912655917675)))",168,MN,545,40,428 Lafayette Street,1005450040,428 Lafayette Street Building,LP-00010,"Borough of Manhattan Tax Map Block 545, Lot 40.",Designated,"a part of La Grange Terrace, also known as Colonnade Row",10/14/1965,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0010.pdf,339.78744658,3944.59184695
"MULTIPOLYGON (((-73.99625112099264 40.740290860775985, -73.99641538241325 40.74006553568517, -73.99648072195932 40.74009312744105, -73.99631641451478 40.74031851565821, -73.99625112099264 40.740290860775985)))",169,MN,793,55,128 West 18th Street,1007930055,128 West 18th Street Stable,LP-01816,"Borough of Manhattan Tax Map Block 793, Lot 55.",Designated,,12/11/1990,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1816.pdf,229.182678889,1944.27189969
"MULTIPOLYGON (((-73.98886138237306 40.73532713774434, -73.98871595637006 40.73526553785483, -73.9889102607458 40.73500103974883, -73.98906623721592 40.73506688088908, -73.98887180538316 40.735331553041476, -73.98886138237306 40.73532713774434)))",171,MN,871,10,111 East 15th Street,1008710010,Century Assocation Building,LP-01763,"Borough of Manhattan Tax Map Block 871, Lot 10.",Designated,,01/05/1993,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1763.pdf,319.724421828,5459.03200564
"MULTIPOLYGON (((-73.97950218533902 40.74758380493951, -73.97967756574603 40.74734084699421, -73.97978273922541 40.7473852154399, -73.97960735434727 40.747628178946016, -73.97950218533902 40.74758380493951)))",180,MN,891,15,123 East 35th Street,1008910015,James F. D. and Harriet Lanier Residence,LP-01048,"Borough of Manhattan Tax Map Block 891, Lot 15.",Designated,,09/11/1979,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1048.pdf,268.610434881,3365.12175487
"MULTIPOLYGON (((-73.99067877994447 40.73678887549262, -73.99073589955982 40.736710436879456, -73.99125492026148 40.736929658322964, -73.9911978673626 40.737008124211506, -73.99067877994447 40.73678887549262)))",181,MN,844,19,33 Union Square West,1008440019,Union Building,LP-01538,"Borough of Manhattan Tax Map Block 846, Lot 30.",Designated,,07/12/1988,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1538.pdf,394.403012674,5375.06900381
"MULTIPOLYGON (((-73.98751570170735 40.73663040366111, -73.98768797730378 40.73639751940076, -73.98786118835812 40.73616337426305, -73.9884408581268 40.73640720314716, -73.98829458430725 40.7366049290557, -73.98824859787729 40.73666708191472, -73.98820404536687 40.73672731411888, -73.98817048639796 40.73671304393362, -73.98823596167911 40.736624537940436, -73.98808184573352 40.73655900115487, -73.98807832169649 40.736563761774256, -73.98807778781367 40.736563533890546, -73.98790605194459 40.73679568487148, -73.98751570170735 40.73663040366111)))",182,MN,873,10,105 East 17th Street,1008730010,Guardian Life Insurance Company of America Annex,LP-02247,"Borough of Manhattan Tax Map Block 873, Lot 10.",Designated,,11/18/2008,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2247.pdf,832.239953841,30365.8558701
"MULTIPOLYGON (((-73.99618586777751 40.74026322116657, -73.99635008198999 40.740037961003004, -73.99641017679892 40.74006333738486, -73.99641538241325 40.74006553568517, -73.99625112099264 40.740290860775985, -73.99618586777751 40.74026322116657)))",183,MN,793,54,126 West 18th Street,1007930054,126 West 18th Street Stable,LP-01815,"Borough of Manhattan Tax map Block 793, Lot 54.",Designated,,12/11/1990,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1815.pdf,229.104415959,1942.54929089
"MULTIPOLYGON (((-73.99117199231355 40.72675251003407, -73.99119094900334 40.72672666237783, -73.99122241257399 40.72669169351726, -73.99144746257758 40.72674075396923, -73.99142328539868 40.72680729617648, -73.99117199231355 40.72675251003407)))",186,MN,459,7,357 Bowery,1004590007,Germania Fire Insurance Company Bowery Building,LP-02354,"Borough of Manhattan Tax Map Block 459, Lot 7",Designated,,03/23/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2354.pdf,188.717181886,1734.70740096
"MULTIPOLYGON (((-74.01246349071411 40.713883714854084, -74.01259725770593 40.71330209478212, -74.01340943254475 40.71367014524904, -74.01327251940864 40.71424718300181, -74.01246349071411 40.713883714854084)))",190,MN,84,1,140 West Street,1000840001,Barclay-Vesey Building,LP-01745,"Borough of Manhattan, Tax Map Block 84, Lot 1.",Designated,,10/01/1991,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1745.pdf,951.26988379,52430.2964974
"MULTIPOLYGON (((-74.00598193593649 40.71124793615636, -74.00621239848122 40.7110879374036, -74.00638215329356 40.711249088029305, -74.00615169059917 40.71140908711851, -74.00598193593649 40.71124793615636)))",192,MN,100,26,138-42 Nassau Street,1001000026,Morse Building,LP-02191,"Borough of Manhattan Tax Map Block 100, Lot 26.",Designated,later Nassau-Beekman Building,09/19/2006,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2191.pdf,323.467914112,6494.58641739
"MULTIPOLYGON (((-74.00145159756177 40.71760380911875, -74.00160330986697 40.717670328680526, -74.00167109614252 40.717700243559236, -74.00162769494912 40.71775168851604, -74.00170390467932 40.71778787350678, -74.00166612270468 40.717832657321836, -74.00166399113658 40.71783167669728, -74.0016508022236 40.71784713053894, -74.00157854787808 40.71781332280552, -74.00156100485488 40.717834114019226, -74.00148477859139 40.717798443125524, -74.00130853099284 40.71800735006989, -74.00114929793865 40.71793544784985, -74.00145159756177 40.71760380911875)))",196,MN,195,17,94-100 Lafayette Street,1001950017,94-100 Lafayette Street Building,LP-02107,"Borough of Manhattan Tax Map Block 195, Lot 17.",Designated,now called the Avildsen Building,12/18/2001,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2107.pdf,490.363279581,9191.59155606
