Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
Eighth Avenue (14th Regiment) Armory,Kings,4/14/94,94NR00539,-73.98292644,40.66290879,POINT (-73.9829264373 40.6629087874),armory
369th Regiment Armory,New York,1/28/94,93NR00511,-73.93516357,40.81789107,POINT (-73.9351635724 40.8178910721),armory
First Battery Armory,New York,2/20/13,12NR06396,-73.98080693,40.77303636,POINT (-73.9808069307 40.7730363584),armory
Queensboro Bridge,New York,12/20/78,90NR00948,-73.95072109,40.75519957,POINT (-73.9507210879 40.7551995665),bridge
Manhattan Bridge,Kings,9/1/83,90NR01298,-73.98995677,40.70601994,POINT (-73.9899567695 40.7060199368),bridge
69th Street Transfer Bridge of the New York Central Railroad,New York,6/26/03,03NR05051,-73.98970669,40.77920273,POINT (-73.9897066884 40.7792027257),bridge
Port Morris Ferry Bridges,Bronx,2/5/14,13NR06490,-73.90834473,40.79942573,POINT (-73.9083447343 40.7994257308),bridge
High Bridge Aqueduct and Water Tower,Bronx,12/4/72,90NR00923,-73.93259328,40.84245936,POINT (-73.9325932795 40.8424593569),bridge
Brooklyn Bridge,Kings,10/15/66,90NR01324,-73.99682684,40.70608059,POINT (-73.9968268405 40.7060805925),bridge
"Keeper's House, Williamsbridge Reservoir",Bronx,9/24/99,99NR01459,-73.87569842,40.87901115,POINT (-73.8756984154 40.8790111511),bridge
"Riverdale, Spuyten Duyvil, Kingsbridge Memorial Bell Tower",Bronx,1/3/12,11NR06255,-73.90838356,40.88926543,POINT (-73.9083835586 40.8892654313),bridge
Brooklyn Bridge - City Hall Subway Station (IRT),New York,7/6/05,04NR05363,-74.00420882,40.71295478,POINT (-74.0042088191 40.7129547833),bridge
Washington Bridge,Bronx,9/22/83,90NR00059,-73.92752006,40.84659853,POINT (-73.9275200637 40.8465985286),bridge
Old Town of Flushing Burial Ground,Queens,2/2/18,16NR00107,-73.80230575,40.75462525,POINT (-73.8023057486 40.754625252),burial ground
African Burial Ground,New York,4/19/93,93NR00474,-74.00478773,40.71419481,POINT (-74.0047877348 40.7141948091),burial ground
Eleventh Street Methodist-Episcopal Chapel,New York,12/30/11,11NR06261,-73.9798041,40.72786803,POINT (-73.9798041036 40.7278680305),chapel
Trinity Chapel Complex,New York,12/16/82,90NR00944,-73.98982956,40.74373757,POINT (-73.98982956 40.7437375746),chapel
Chapel Of The Good Shepherd,New York,3/16/72,90NR00627,-73.95023339,40.76185884,POINT (-73.9502333925 40.7618588359),chapel
Trinity Chapel,Queens,1/11/02,01NR01799,-73.75092307,40.6038766,POINT (-73.7509230665 40.6038766033),chapel
St. Augustine's Chapel,New York,5/6/80,90NR00700,-73.98312495,40.71366206,POINT (-73.9831249461 40.713662061),chapel
St. Paul's Chapel,New York,10/15/66,90NR00878,-74.0095785,40.7114782,POINT (-74.0095784978 40.7114781987),chapel
Lisanti Chapel,Bronx,1/11/02,01NR01803,-73.86289514,40.88005266,POINT (-73.8628951445 40.8800526553),chapel
The Church of the Heavenly Rest and the Chapel of the Beloved Disciple,New York,3/3/21,20NR00079,-73.95813765,40.78367643,POINT (-73.9581376454 40.783676433),chapel
German Evangelical Lutheran Church of St. Mark,New York,4/15/04,03NR05087,-73.98719321,40.72707341,POINT (-73.9871932139 40.7270734136),church
Saint James Church,Queens,11/12/99,99NR01470,-73.87782521,40.73835016,POINT (-73.8778252137 40.7383501625),church
West End Presbyterian Church & Parish House,New York,12/30/11,11NR06262,-73.96575381,40.79982963,POINT (-73.9657538067 40.7998296257),church
Holy Trinity (Protestant Episcopal) Church,Kings,12/23/87,90NR01349,-73.99266111,40.69458066,POINT (-73.9926611073 40.6945806614),church
Congregational Church of the Evangel,Kings,12/11/09,09NR06032,-73.95684551,40.65720916,POINT (-73.9568455149 40.6572091555),church
St. Bartholomew's Protestant Episcopal Church and Rectory,Kings,4/23/80,90NR01274,-73.95205716,40.67814885,POINT (-73.9520571567 40.6781488466),church
Hanson Place Seventh Day Adventist Church,Kings,4/23/80,90NR01273,-73.97393118,40.68525678,POINT (-73.9739311788 40.685256775),church
Immanuel Union Church,Richmond,7/27/18,18NR00015,-74.13120035,40.62017891,POINT (-74.1312003495 40.6201789095),church
St. George's Episcopal Church,New York,12/8/76,90NR00931,-73.98500474,40.73436148,POINT (-73.9850047365 40.7343614753),church
Grace Church and Dependencies,New York,6/28/74,90NR00768,-73.99080374,40.73196959,POINT (-73.9908037416 40.7319695887),church
Church of the Holy Innocents,Kings,6/16/05,04NR05415,-73.96267224,40.64449054,POINT (-73.9626722385 40.6444905361),church
St. Monica's Church,Queens,4/9/80,90NR01568,-73.79830735,40.70195962,POINT (-73.7983073508 40.7019596158),church
First Presbyterian Church of Newtown,Queens,9/9/13,13NR06450,-73.87708618,40.73558167,POINT (-73.8770861841 40.7355816696),church
St. Philips Protestant Episcopal Church,New York,9/25/08,97NR01231,-73.94527783,40.81466251,POINT (-73.9452778336 40.8146625079),church
St. StephenΓÇÖs Mission Church Complex,Bronx,7/29/21,21NR00029,-73.86354454,40.9002842,POINT (-73.8635445447 40.9002841962),church
Christ Evangelical English Lutheran Church,Kings,8/30/07,07NR05736,-73.92865992,40.69226487,POINT (-73.9286599234 40.6922648721),church
Fourth Avenue Methodist Episcopal Church,Kings,8/8/19,19NR00028,-74.01096463,40.6485159,POINT (-74.0109646333 40.6485159015),church
Church of St. Ignatius Loyola Complex,New York,7/24/80,90NR00794,-73.95890303,40.77917091,POINT (-73.9589030324 40.7791709125),church
Church of Notre Dame and Rectory,New York,5/6/80,90NR00694,-73.96045127,40.80511199,POINT (-73.9604512689 40.8051119934),church
St. John's Church Complex,Richmond,,94NR00547,-74.06325563,40.61149345,POINT (-74.0632556334 40.6114934539),church
Church of St. Paul the Apostle,New York,12/5/91,91NR00098,-73.98519838,40.76981159,POINT (-73.9851983845 40.7698115923),church
St. Andrew's Episcopal Church,New York,3/18/80,90NR00635,-73.94077224,40.80773282,POINT (-73.9407722425 40.8077328186),church
Church of the Holy Communion and Buildings,New York,4/17/80,90NR00664,-73.99363032,40.74103924,POINT (-73.993630323 40.741039238),church
St. Thomas Church and Parish House,New York,4/9/80,90NR00655,-73.976256,40.76085063,POINT (-73.9762560035 40.7608506315),church
Flatbush Dutch Reformed Church Complex,Kings,9/8/83,90NR01302,-73.95933782,40.6497844,POINT (-73.9593378224 40.6497843964),church
Grace Episcopal Church,Bronx,9/13/06,06NR05589,-73.78383111,40.84097892,POINT (-73.7838311114 40.8409789166),church
St. Luke's Evangelical Lutheran Church,New York,6/1/07,06NR05682,-73.98871392,40.7598784,POINT (-73.9887139216 40.7598784019),church
Calvary Methodist Episcopal Church,New York,5/16/16,15NR00135,-73.94684991,40.81193202,POINT (-73.9468499051 40.8119320204),church
Christ Church New Brighton,Richmond,5/27/04,03NR05201,-74.09283736,40.64345983,POINT (-74.0928373605 40.6434598275),church
Holyrood Protestant Episcopal Church,New York,10/29/20,20NR00037,-73.93840714,40.84943607,POINT (-73.9384071428 40.8494360652),church
New Utrecht Reformed Church and Buildings,Kings,4/9/80,90NR01266,-74.00049523,40.60830871,POINT (-74.000495234 40.6083087121),church
Fort Washington Presbyterian Church,New York,1/7/10,09NR06027,-73.93786749,40.84537914,POINT (-73.9378674933 40.8453791441),church
Immanuel Congregational Church,Kings,6/7/06,06NR05560,-73.92474393,40.68268619,POINT (-73.9247439308 40.6826861854),church
St. Mary's Episcopal Church,Kings,7/21/83,90NR01292,-73.96130103,40.69273094,POINT (-73.9613010285 40.6927309437),church
