Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
New Kingston Presbyterian Church,Delaware,5/22/02,02NR01887,-74.68215224,42.21349739,POINT (-74.6821522355 42.2134973944),church
Saint Stanislaus Roman Catholic Church Complex,Montgomery,4/29/99,98NR01426,-74.18285608,42.93535413,POINT (-74.1828560817 42.9353541264),church
St. Peter's R.C. Church and Rectory,Clinton,,91NR03357,-73.45925371,44.69984325,POINT (-73.4592537086 44.699843248),church
St. Peter's Episcopal Church,Westchester,7/5/03,02NR05014,-73.91887354,41.29266629,POINT (-73.9188735383 41.2926662933),church
Church of St. Vincent Ferrer and Priory,New York,6/14/84,90NR00756,-73.96475533,40.7661102,POINT (-73.9647553265 40.7661102006),church
South Granville Congregational Church & Parsonage,Washington,5/19/05,03NR05202,-73.28671625,43.37204869,POINT (-73.2867162539 43.3720486906),church
Reformed Dutch Church of Fishkill Landing,Dutchess,8/31/88,90NR00437,-73.98062045,41.50649316,POINT (-73.9806204521 41.5064931638),church
First Presbyterian Church of Oyster Bay,Nassau,12/12/76,90NR01726,-73.5286524,40.87161254,POINT (-73.5286523984 40.8716125357),church
First Presbyterian Church,Cortland,1/24/02,01NR01827,-76.1460477,42.73532664,POINT (-76.1460476956 42.7353266371),church
Riverside Methodist Church and Parsonage,Dutchess,7/9/87,90NR00348,-73.95078844,41.92005077,POINT (-73.9507884409 41.9200507727),church
Church of Saints Peter and Paul Complex,Monroe,6/20/12,11NR06271,-77.63253917,43.15191261,POINT (-77.6325391746 43.1519126064),church
Mount Moriah Presbyterian Church,Essex,6/1/95,95NR00826,-73.46021176,44.04788431,POINT (-73.4602117619 44.0478843061),church
Emmanuel Baptist Church,Kings,12/16/77,90NR01348,-73.96526379,40.68856802,POINT (-73.9652637901 40.6885680174),church
Sennett Federated Church and Parsonage,Cayuga,10/5/05,05NR05476,-76.53344304,42.99400295,POINT (-76.5334430448 42.9940029505),church
Salem Welsh Church,Cattaraugus,9/7/95,95NR00864,-78.35840867,42.48645187,POINT (-78.3584086663 42.486451873),church
Trinity Methodist Episcopal Church and Rectory,Dutchess,11/26/82,90NR00427,-73.92495766,41.69840689,POINT (-73.9249576589 41.6984068874),church
St. George's Protestant Episcopal Church,Kings,9/8/83,90NR01304,-73.94778877,40.68631363,POINT (-73.9477887739 40.6863136295),church
St. Stephen's United Methodist Church,Bronx,2/8/12,11NR06263,-73.90903863,40.87691915,POINT (-73.909038629 40.8769191454),church
Stillwater United Church,Saratoga,9/28/06,06NR05575,-73.65390034,42.93869,POINT (-73.6539003383 42.9386900008),church
Church of Saint Mary the Virgin and Greeley Grove,Westchester,4/19/79,90NR02447,-73.77240778,41.1557533,POINT (-73.7724077794 41.1557533047),church
First Presbyterian Church,Warren,9/29/84,90NR02708,-73.65090883,43.31249189,POINT (-73.6509088343 43.312491894),church
St. John's Episcopal Church,Oswego,5/27/93,93NR00458,-76.30034383,43.23150882,POINT (-76.3003438308 43.231508818),church
East Berkshire United Methodist Church,Tioga,7/2/84,90NR02231,-76.14514831,42.3067387,POINT (-76.1451483132 42.3067386975),church
Brighton Heights Reformed Church,Richmond,6/3/82,90NR01025,-74.07836751,40.64173025,POINT (-74.0783675108 40.6417302549),church
First Baptist Church of Phelps,Ontario,5/22/92,92NR00334,-77.058703,42.95500423,POINT (-77.0587030022 42.9550042333),church
Old First Reformed Church,Kings,4/1/98,97NR01247,-73.97663219,40.67356647,POINT (-73.9766321892 40.6735664654),church
Immaculate Conception Roman Catholic Church Complex,Monroe,3/31/92,92NR00345,-77.61720893,43.14663054,POINT (-77.6172089266 43.1466305441),church
Wampsville Presbyterian Church,Madison,2/2/18,17NR00040,-75.7054961,43.07498566,POINT (-75.7054961018 43.0749856629),church
Church Street Row,Dutchess,11/26/82,90NR00388,-73.92571015,41.70029251,POINT (-73.9257101461 41.7002925112),church
Methodist Episcopal Church,Tompkins,6/8/84,90NR02271,-76.29717165,42.49085086,POINT (-76.2971716532 42.4908508639),church
St. Thomas' Episcopal Church,Dutchess,4/6/05,04NR05250,-73.50657895,41.82562653,POINT (-73.5065789476 41.8256265309),church
Trinity Episcopal Church,Columbia,9/2/97,97NR01234,-73.73765184,42.22288764,POINT (-73.7376518398 42.2228876397),church
Crescent Methodist Episcopal Church,Saratoga,2/10/00,97NR01245,-73.73116456,42.82506706,POINT (-73.7311645581 42.8250670556),church
Norwood Methodist Church & Parsonage,St. Lawrence,,11NR06282,-74.9959811,44.75177105,POINT (-74.9959810956 44.7517710507),church
