Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Unadilla Forks School,Otsego,08/28/1998,98NR01390,-75.2365124312,42.8431467366,POINT (-75.2365124312 42.8431467366)
Willsboro School,Essex,03/31/2010,09NR06077,-73.3901038666,44.3647408653,POINT (-73.3901038666 44.3647408653)
East Otto Union School,Cattaraugus,09/15/2004,03NR05063,-78.7543191433,42.3909813732,POINT (-78.7543191433 42.3909813732)
District School No. 19,Jefferson,10/18/1989,90NR01136,-76.0308665894,43.9247279448,POINT (-76.0308665894 43.9247279448)
LaGrange District School No. 3,Dutchess,05/28/2013,13NR06437,-73.8056809625,41.6739379056,POINT (-73.8056809625 41.6739379056)
WATKINS GLEN HIGH SCHOOL,Schuyler,02/12/2015,14NR06597,-76.868670234,42.3776113035,POINT (-76.868670234 42.3776113035)
St. Rose de Lima Roman Catholic Church and School Complex,Erie,02/21/2017,15NR00013,-78.8394506753,42.9531047255,POINT (-78.8394506753 42.9531047255)
District Number 7 Schoolhouse,Tompkins,11/30/2004,04NR05221,-76.253110998,42.3042958056,POINT (-76.253110998 42.3042958056)
Vestal Central School,Broome,02/22/2010,09NR06079,-76.0511118985,42.0848134755,POINT (-76.0511118985 42.0848134755)
Public School 108,Kings,12/10/1981,90NR01345,-73.8843508373,40.6813030751,POINT (-73.8843508373 40.6813030751)
Marble Schoolhouse,Westchester,07/06/2005,04NR05399,-73.8111790141,40.9298035353,POINT (-73.8111790141 40.9298035353)
District School No. 1,Albany,05/20/1998,98NR01336,-73.7697190131,42.553039059,POINT (-73.7697190131 42.553039059)
Union Free School,Delaware,12/06/2004,04NR05246,-74.9976614087,42.0827484756,POINT (-74.9976614087 42.0827484756)
Talcottville Common School No. 2,Lewis,06/21/2016,16NR00007,-75.3680184998,43.5338038774,POINT (-75.3680184998 43.5338038774)
District School No. 3,Rensselaer,08/28/1998,98NR01369,-73.7068122728,42.5024765133,POINT (-73.7068122728 42.5024765133)
Buffalo Public School #78 (PS78),Erie,01/30/2020,18NR00085,-78.817751177,42.9318451353,POINT (-78.817751177 42.9318451353)
Dayton's Corners School,Monroe,07/05/2001,01NR01761,-77.5027939512,43.1818188283,POINT (-77.5027939512 43.1818188283)
Fosdick-Masten Park High School,Erie,06/30/1983,90NR01227,-78.8606115537,42.903043877,POINT (-78.8606115537 42.903043877)
Thorne Memorial School,Dutchess,12/06/1996,96NR01096,-73.689539806,41.7861737851,POINT (-73.689539806 41.7861737851)
Wallington Cobblestone Schoolhouse District 8,Wayne,03/17/1994,92NR00421,-77.0128370774,43.2232458998,POINT (-77.0128370774 43.2232458998)
Roe Cobblestone Schoolhouse,Wayne,09/17/2008,08NR05878,-76.7971876387,43.1900083557,POINT (-76.7971876387 43.1900083557)
"District No. 2 School, Caroline and Dryden",Tompkins,01/05/2005,04NR05259,-76.3498107046,42.3942902589,POINT (-76.3498107046 42.3942902589)
Schoolhouse #6,Albany,11/10/1982,90NR01665,-73.968405089,42.7042327344,POINT (-73.968405089 42.7042327344)
English Church and Schoolhouse,Rockland,11/23/1977,90NR02397,-74.0318075979,41.1502036394,POINT (-74.0318075979 41.1502036394)
Chelsea Grammar School,Dutchess,08/25/1987,90NR00360,-73.9675566617,41.5525823585,POINT (-73.9675566617 41.5525823585)
Waterloo High School,Seneca,05/20/2019,18NR00088,-76.8678644739,42.9048845206,POINT (-76.8678644739 42.9048845206)
East Nassau School,Rensselaer,05/23/1997,97NR01184,-73.5046482614,42.5095725,POINT (-73.5046482614 42.5095725)
Rosendale Common School,Schenectady,07/19/2010,09NR06074,-73.8597424836,42.7964460263,POINT (-73.8597424836 42.7964460263)
District School No. 11,Greene,08/10/1995,95NR00843,-73.8802716631,42.2308852954,POINT (-73.8802716631 42.2308852954)
Hammondsport Union Free School,Steuben,05/15/2008,07NR05824,-77.2232164129,42.4076258017,POINT (-77.2232164129 42.4076258017)
Public School 24 (aka PS 59),Erie,12/13/2016,15NR00073,-78.8389291737,42.9033376404,POINT (-78.8389291737 42.9033376404)
Sherburne High School,Chenango,11/03/1988,90NR00169,-75.4935283832,42.6757533415,POINT (-75.4935283832 42.6757533415)
Modern Times School,Suffolk,12/23/1994,94NR00728,-73.253836992,40.7764546837,POINT (-73.253836992 40.7764546837)
"Lafevre, John A., House and School",Ulster,11/16/1989,95NR00835,-74.1198354107,41.6968534252,POINT (-74.1198354107 41.6968534252)
Van Cortlandtville School (Common District School No. 10),Westchester,04/07/1989,90NR02433,-73.8999084381,41.3124691498,POINT (-73.8999084381 41.3124691498)
Former Depew High School,Erie,08/23/2016,15NR00025,-78.6919946613,42.903397422,POINT (-78.6919946613 42.903397422)
Friends Meetinghouse and School,Kings,11/04/1982,90NR01330,-73.9893166579,40.6899765478,POINT (-73.9893166579 40.6899765478)
"Woodlawn (Gordon, Malcolm, School)",Putnam,11/23/1982,90NR02379,-73.9375404473,41.3914506194,POINT (-73.9375404473 41.3914506194)
Smyrna Elementary School,Chenango,12/16/1996,96NR01101,-75.569238442,42.6859169112,POINT (-75.569238442 42.6859169112)
District No. 6 Schoolhouse,Rensselaer,07/03/2008,08NR05845,-73.5747334787,42.7511737017,POINT (-73.5747334787 42.7511737017)
Oran District No. 22 Schoolhouse,Onondaga,08/06/1998,98NR01362,-75.9343655964,42.9785985194,POINT (-75.9343655964 42.9785985194)
Ramapo Central School District,Rockland,08/05/2015,15NR00034,-74.1701439062,41.1249050757,POINT (-74.1701439062 41.1249050757)
Weston Schoolhouse,Schuyler,10/08/1998,98NR01326,-77.0768504963,42.4220062757,POINT (-77.0768504963 42.4220062757)
Camp Hill School (Pomona Village Hall),Rockland,08/08/2019,19NR00010,-74.0550144899,41.1826495092,POINT (-74.0550144899 41.1826495092)
LeRoy House/Union Free School,Genesee,11/07/1997,97NR01278,-77.9857835814,42.9792129151,POINT (-77.9857835814 42.9792129151)
Attlebury School House,Dutchess,05/16/2016,15NR00114,-73.668031489,41.9192854566,POINT (-73.668031489 41.9192854566)
Lincoln School,Steuben,11/17/2015,15NR00075,-77.6617907609,42.3160902073,POINT (-77.6617907609 42.3160902073)
Washington School,Westchester,02/12/1987,90NR02507,-73.8581460202,41.165693395,POINT (-73.8581460202 41.165693395)
Town of Niagara District School No. 2,Niagara,02/09/2005,04NR05293,-78.9507126764,43.1215968022,POINT (-78.9507126764 43.1215968022)
Main Street School,Nassau,02/10/1983,90NR01728,-73.6964504081,40.8307476671,POINT (-73.6964504081 40.8307476671)
District 4 School,Chenango,04/21/2004,03NR05142,-75.6391871558,42.3147086441,POINT (-75.6391871558 42.3147086441)
